hhid,round,gps_latitude,gps_longitude
9018,1,2.5999999,37.599998
9019,1,2.7,37.700001
9020,1,2.7,37.700001
9021,1,2.5999999,37.799999
9022,1,2.5999999,37.799999
9023,1,2.5,37.599998
9024,1,2.5,37.700001
9025,1,2.5,37.599998
9026,1,2.5,37.599998
9027,1,2.5999999,37.700001
9028,1,2.7,37.700001
9029,1,2.7,37.700001
9030,1,2.7,37.799999
9031,1,2.7,37.799999
9032,1,2.7,37.799999
9033,1,2.8,37.599998
9034,1,2.8,37.599998
9035,1,2.8,37.599998
9036,1,2.5999999,37.700001
9037,1,2.7,37.700001
9038,1,2.7,37.700001
9039,1,2.7,37.599998
9040,1,2.7,37.599998
9041,1,2.7,37.599998
9042,1,2.7,37.599998
9043,1,2.5999999,37.799999
9044,1,2.5999999,37.700001
9045,1,2.5,37.599998
9046,1,2.7,37.599998
9047,1,2.5,37.599998
9048,1,2.5999999,37.599998
9049,1,2.5999999,37.599998
9050,1,2.7,37.700001
9051,1,2.7,37.700001
9052,1,2.7,37.700001
9053,1,2.7,37.700001
9054,1,2.5999999,37.700001
9055,1,2.5999999,37.700001
9056,1,2.7,37.599998
9057,1,2.5999999,37.599998
9058,1,2.7,37.599998
9059,1,2.5999999,37.799999
9060,1,2.5999999,37.799999
9061,1,2.5999999,37.599998
9062,1,2.5,37.599998
9063,1,2.5,37.799999
9064,1,2.5,37.799999
9065,1,2.5,37.799999
9066,1,2.5,37.799999
9067,1,2.3,37.799999
9068,1,2.5,37.599998
9069,1,2.5,37.799999
9070,1,2.8,37.799999
9071,1,2.8,37.799999
9072,1,2.5,37.799999
9073,1,2.5,37.799999
9074,1,2.8,37.799999
9075,1,2.5,37.799999
9076,1,2.5,37.799999
9077,1,2.8,37.799999
9078,1,2.5,37.799999
9079,1,2.5,37.799999
9080,1,2.5,37.599998
9081,1,2.8,37.799999
9082,1,2.8,37.799999
9083,1,2.8,37.799999
9084,1,2.7,37.799999
9085,1,2.8,37.799999
9086,1,2.7,37.799999
9087,1,2.7,37.799999
9088,1,2.7,37.799999
9089,1,2.7,37.599998
9090,1,2.7,37.599998
9091,1,2.7,37.599998
9092,1,2.5999999,37.799999
9093,1,2.7,37.799999
9094,1,2.5999999,37.799999
9095,1,2.7,37.599998
9096,1,2.7,37.599998
9097,1,2.7,37.700001
9098,1,2.5999999,37.599998
9099,1,2.7,37.700001
9100,1,2.7,37.700001
10001,1,2.7,37.5
10002,1,2.7,37.5
10003,1,2.7,37.5
10004,1,2.7,37.700001
