hhid,round,comment,foodclass,foodtype,s11q2,s11q6a,s11q7
1014,6,0,"PULSES, LEGUMES, NUTS","Dried beans (society/haja) and other pulses, legumes, nuts",Yes,SELF PRODUCTION,Two days
1014,6,0,EGGS,Eggs,No,,
1014,6,0,MILK AND MILK PRODUCTS,"Milk (fresh, powdered, soured)",Yes,PURCHASE,Seven days
1014,6,0,"MEAT, POULTRY, OFFAL",Goat meat/ sheep meat,Yes,PURCHASE,Four days
1014,6,0,"MEAT, POULTRY, OFFAL","Other meat/chicken, blood, fish",No,,
1014,6,0,OILS AND FATS,Cooking oil (liquids),Yes,PURCHASE,Seven days
1014,6,0,OILS AND FATS,Cooking fat (solids),No,,
1014,6,0,SUGAR,Sugar,Yes,PURCHASE,Seven days
1014,6,0,SALT AND SPICES,Salt,Yes,PURCHASE,Seven days
1014,6,0,SALT AND SPICES,"Spices (chilli, etc.)",Yes,PURCHASE,Three days
1014,6,0,VEGETABLES,Onions,Yes,PURCHASE,Seven days
1014,6,0,VEGETABLES,Tomatoes and tomato paste,Yes,PURCHASE,Seven days
1014,6,0,VEGETABLES,"Other vegetables (Sukuma wiki, cabbage, pepper, lettuce, etc.)",Yes,PURCHASE,Four days
