hhid,round,comment,s12q14,s12q15,s12q1,s12q1b,s12q2,s12q2b,s12q3,s12q4,s12q5,s12q6,s12q6b,s12q7,s12q8,s12q9,s12q9b,s12q10a,s12q10b,s12q11,s12q12,s12q12b,s12q13
14082,5,0,improved,,Sticks/Palm/Leaves,,Sand/Earth,,2,Traditional fire,Purchased firewood,Purchased firewood,,Yes,Ventilation improved pit latrine,Public tap,,0,5,No,Public tap,,No
14082,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,10,No,Public tap,,No
14083,1,,,,Sticks/Palm/Leaves,,Sand/Earth,,1,Ordinary jiko,Charcoal,Battery torch,,No,,Public tap,,0,4,No,Public tap,,No
14083,3,0,Remained the same,,,,,,,,,,,,,Public tap,,0,20,No,Public tap,,Yes
14083,4,0,Remained the same,,,,,,,,,,,,,Public tap,,0,10,No,Public tap,,No
14083,5,0,improved,,Mud/Dung,,Sand/Earth,,2,Traditional fire,Purchased firewood,Battery torch,,Yes,Covered pit latrine,Public tap,,0,10,No,Public tap,,No
14083,6,0,Worsened,,Mud/Dung,,Sand/Earth,,1,Traditional fire,Purchased firewood,Purchased firewood,,No,,Public tap,,0,10,No,Public tap,,No
14085,1,,,,Sticks/Palm/Leaves,,Sand/Earth,,2,Traditional fire,Collected firewood,Collected firewood,,No,,Public tap,,0,3,No,Public tap,,No
14085,3,0,Remained the same,,,,,,,,,,,,,Public tap,,0,30,No,Public tap,,Yes
14085,5,0,,improved,Sticks/Palm/Leaves,,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Public tap,,0,10,No,Public tap,,No
14086,1,,,,Sticks/Palm/Leaves,,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,Yes,Flush to septic tank,Unprotected well,,0,10,No,Public tap,,No
14086,3,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,No,Public tap,,No
14086,4,0,improved,,Sticks/Palm/Leaves,,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,Yes,Covered pit latrine,Public tap,,0,3,No,Public tap,,No
14087,1,,,,Brick/Block/Cement,,Sand/Earth,,2,Ordinary jiko,Charcoal,Battery torch,,Yes,Uncovered pit latrine,Public tap,,0,2,No,Public tap,,No
14087,3,0,improved,,Stone,,Sand/Earth,,3,Traditional fire,Purchased firewood,Paraffin,,Yes,Covered pit latrine,Public tap,,0,45,No,Public tap,,No
14087,4,0,improved,,Mud/Dung,,Sand/Earth,,3,Ordinary jiko,Charcoal,Paraffin,,Yes,Covered pit latrine,Piped into dwelling or compound,,.b,.b,No,Public tap,,No
14087,5,0,Remained the same,,,,,,,,,,,,,Public tap,,0,30,No,Public tap,,Yes
14087,6,0,improved,,Stone,,Cement,,2,Ordinary jiko,Paraffin,Solar,,Yes,Covered pit latrine,Other (specify),neighbours tap,0,5,No,Public tap,,No
14088,1,,,,Brick/Block/Cement,,Cement,,7,Ordinary jiko,Charcoal,Solar,,Yes,Ventilation improved pit latrine,Piped into dwelling or compound,,0,3,No,Piped into dwelling or compound,,No
14088,3,0,Remained the same,,,,,,,,,,,,,Piped into dwelling or compound,,0,0,No,Piped into dwelling or compound,,Yes
14088,4,0,Remained the same,,,,,,,,,,,,,Piped into dwelling or compound,,.b,.b,No,Piped into dwelling or compound,,No
14088,5,0,improved,,Brick/Block/Cement,,Tiles,,10,Ordinary jiko,Charcoal,Electricity,,Yes,Ventilation improved pit latrine,Piped into dwelling or compound,,.b,.b,No,Piped into dwelling or compound,,No
14088,6,0,Remained the same,,,,,,,,,,,,,Piped into dwelling or compound,,.b,.b,No,Piped into dwelling or compound,,Yes
14089,1,,,,Mud/Dung,,Sand/Earth,,2,Ordinary jiko,Purchased firewood,Battery torch,,No,,Other (specify),NEIGHBOURS TAP,0,5,Yes,Other (specify),NEIGHBOURS TAP,Yes
14089,3,0,Remained the same,,,,,,,,,,,,,Public tap,,0,4,No,Public tap,,Yes
14089,4,0,improved,,Mud/Dung,,Sand/Earth,,3,Traditional fire,Purchased firewood,Paraffin,,Yes,Uncovered pit latrine,Public tap,,0,2,No,Public tap,,No
14089,5,0,improved,,Wood,,Sand/Earth,,3,Ordinary jiko,Charcoal,Paraffin,,Yes,Ventilation improved pit latrine,Public tap,,0,20,No,Public tap,,No
